case_id,case_type,country,processing_stage,office_id,office_load,priority,document_complexity,documents_missing,client_response_delay_days,reassignment_count,days_in_stage,sla_target_days,total_processing_days,sla_breach
1171,Tax,US,Documentation,103,92,Normal,Low,3,12,0,21,21,49.5,True
1172,PR Application,AU,Documentation,114,44,Normal,Low,6,24,1,26,90,83.2,False
1173,Tax,US,Decision,119,63,Normal,Low,0,25,4,18,21,74.5,True
1174,Tax,DE,Documentation,118,66,Normal,Medium,4,2,1,1,21,43.6,True
1175,Relocation,AU,Decision,102,128,Urgent,Low,0,11,0,2,28,52.3,True
1176,Relocation,US,Documentation,119,32,Normal,Low,6,26,2,14,35,76.7,True
1177,Visa Renewal,UK,Intake,110,72,Urgent,Medium,4,16,0,38,23,69.3,True
1178,Payroll,US,Government Review,116,72,Normal,High,4,21,1,15,14,81.9,True
1179,Tax,US,Documentation,112,56,Urgent,Low,6,21,1,36,14,69.6,True
1180,Work Permit,CA,Decision,110,82,Normal,Medium,4,6,3,24,45,80.8,True
1181,Tax,AU,Government Review,101,85,Normal,Low,3,6,4,25,21,73.9,True
1182,Relocation,US,Closure,108,59,Normal,High,6,25,0,9,35,82.8,True
1183,Work Permit,UK,Decision,101,97,Normal,Medium,3,10,3,15,45,67.3,True
1184,Relocation,CA,Documentation,108,80,Urgent,Medium,3,15,0,37,28,67.8,True
1185,Relocation,AU,Decision,108,114,Normal,Low,0,3,1,6,35,50.9,True
1186,Tax,US,Government Review,107,25,Normal,Medium,2,15,0,43,21,64.7,True
1187,Work Permit,UK,Government Review,116,44,Urgent,Medium,5,4,0,45,38,86.8,True
1188,Tax,UK,Decision,100,122,Urgent,Low,6,18,3,12,14,81.0,True
1189,Relocation,UK,Government Review,110,65,Normal,Low,6,21,3,27,35,90.4,True
1190,Work Permit,AU,Submission,107,50,Urgent,Medium,6,28,2,7,38,86.2,True
1191,Payroll,DE,Government Review,109,121,Normal,Medium,4,13,0,28,14,83.2,True
1192,Relocation,US,Documentation,106,99,Normal,Low,6,30,1,12,35,78.3,True
1193,Visa Renewal,CA,Documentation,102,82,Normal,Medium,6,6,5,42,30,82.3,True
1194,Relocation,CA,Government Review,102,110,Normal,Low,0,8,0,35,35,62.7,True
1195,Tax,CA,Documentation,117,113,Normal,Low,3,24,1,2,21,65.8,True
1196,Visa Renewal,CA,Intake,104,87,Normal,Medium,5,27,1,26,30,77.2,True
1197,Work Permit,CA,Intake,111,58,Normal,Low,3,12,1,20,45,53.2,True
1198,Work Permit,CA,Government Review,111,99,Urgent,Low,2,15,3,25,38,85.1,True
1199,Visa Renewal,AU,Submission,118,55,Normal,Low,3,20,1,21,30,63.2,True
1200,Tax,US,Decision,105,26,Urgent,Medium,4,3,0,1,14,38.9,True
1201,Relocation,AU,Submission,101,104,Urgent,Medium,1,6,0,28,28,54.6,True
1202,Visa Renewal,CA,Submission,111,85,Normal,High,6,29,2,38,30,111.0,True
1203,Work Permit,UK,Submission,118,74,Normal,Low,5,2,1,13,45,52.2,True
1204,Visa Renewal,DE,Government Review,104,91,Normal,Medium,6,19,3,30,30,106.9,True
1205,Payroll,CA,Submission,111,61,Urgent,Low,3,14,1,10,7,45.4,True
1206,Visa Renewal,CA,Closure,116,46,Normal,Medium,2,24,0,45,30,70.3,True
1207,Payroll,CA,Closure,116,21,Normal,Medium,5,20,6,22,14,85.2,True
1208,Relocation,CA,Decision,109,89,Urgent,Low,1,25,0,29,28,76.3,True
1209,Work Permit,AU,Closure,116,23,Normal,Medium,5,13,0,5,45,59.8,True
1210,Payroll,DE,Submission,114,40,Normal,Low,6,6,1,8,14,41.5,True
1211,Relocation,US,Government Review,111,20,Normal,Low,6,17,0,11,35,74.5,True
1212,Tax,US,Government Review,115,57,Urgent,Low,4,24,1,26,14,88.9,True
1213,Payroll,CA,Government Review,118,79,Urgent,Medium,4,4,2,19,7,63.8,True
1214,Work Permit,US,Decision,107,95,Normal,Medium,4,20,1,19,45,74.7,True
1215,Work Permit,UK,Government Review,116,110,Normal,Low,2,19,0,30,45,77.9,True
1216,Tax,US,Closure,104,33,Urgent,Low,1,7,2,36,14,48.0,True
1217,Visa Renewal,CA,Documentation,115,98,Normal,Low,4,26,1,42,30,79.7,True
1218,Work Permit,US,Decision,105,107,Urgent,Low,6,19,1,9,38,68.1,True
1219,Work Permit,CA,Government Review,107,101,Normal,Medium,3,17,0,7,45,80.8,True
1220,Work Permit,UK,Government Review,117,36,Urgent,Medium,1,20,0,18,38,68.2,True
1221,Tax,CA,Documentation,111,92,Normal,Low,4,18,2,9,21,61.7,True
1222,Work Permit,AU,Decision,114,66,Normal,Low,1,19,1,6,45,60.1,True
1223,Relocation,AU,Closure,108,101,Normal,Medium,5,2,2,6,35,48.8,True
1224,PR Application,CA,Documentation,112,75,Normal,Low,3,22,5,45,90,94.9,True
1225,Relocation,US,Government Review,114,72,Urgent,Low,0,29,0,22,28,73.5,True
1226,Work Permit,DE,Submission,109,37,Normal,Medium,4,5,1,17,45,60.8,True
1227,Tax,AU,Closure,115,88,Urgent,Medium,3,17,1,15,14,62.9,True
1228,Work Permit,DE,Submission,106,67,Normal,Medium,2,26,1,9,45,62.6,True
1229,Tax,US,Documentation,116,28,Normal,High,5,14,1,6,21,74.2,True
1230,Payroll,AU,Submission,106,73,Normal,Low,4,13,1,23,14,60.7,True
1231,Relocation,US,Government Review,113,54,Normal,Medium,0,23,2,17,35,81.0,True
1232,Relocation,UK,Intake,114,127,Normal,Low,5,20,2,32,35,79.2,True
1233,Relocation,AU,Government Review,106,65,Normal,Medium,3,21,2,32,35,95.2,True
1234,Visa Renewal,US,Closure,108,20,Normal,High,5,7,1,37,30,78.0,True
1235,Payroll,AU,Decision,118,60,Normal,Medium,3,10,2,3,14,61.7,True
1236,Payroll,CA,Intake,115,92,Urgent,Medium,1,10,1,16,7,47.7,True
1237,Visa Renewal,AU,Closure,107,51,Normal,Medium,4,11,3,2,30,53.0,True
1238,PR Application,US,Government Review,117,103,Normal,Low,0,15,0,3,90,69.5,False
1239,Payroll,AU,Documentation,117,96,Normal,Medium,2,6,4,41,14,76.8,True
1240,Payroll,US,Intake,119,59,Urgent,High,1,30,1,14,7,71.2,True
1241,Relocation,UK,Documentation,106,30,Normal,Medium,4,26,1,14,35,73.4,True
1242,Relocation,CA,Decision,102,81,Normal,Low,0,2,2,30,35,53.6,True
1243,Visa Renewal,CA,Intake,117,65,Urgent,Low,1,1,1,40,23,35.5,True
1244,Payroll,US,Documentation,109,67,Normal,Low,0,2,2,27,14,47.0,True
1245,Work Permit,UK,Decision,106,62,Normal,Low,5,30,1,17,45,80.7,True
1246,Relocation,US,Government Review,116,70,Urgent,Medium,0,7,1,39,28,58.7,True
1247,Visa Renewal,UK,Decision,113,80,Normal,Low,1,19,1,9,30,56.5,True
1248,Visa Renewal,US,Government Review,102,61,Normal,Low,1,7,4,36,30,72.8,True
1249,Relocation,AU,Intake,111,45,Normal,Low,4,30,1,10,35,70.6,True
1250,Payroll,US,Decision,112,123,Urgent,Medium,1,3,1,29,7,57.6,True
1251,Work Permit,US,Documentation,101,30,Normal,Medium,6,30,3,4,45,82.0,True
1252,Relocation,US,Government Review,102,44,Normal,Medium,6,22,1,21,35,89.6,True
1253,Work Permit,CA,Government Review,104,59,Normal,Low,5,12,1,37,45,75.0,True
1254,Work Permit,US,Documentation,110,44,Normal,Low,6,21,3,2,45,72.2,True
1255,Relocation,CA,Closure,107,103,Normal,Low,4,25,2,15,35,67.2,True
1256,Relocation,AU,Submission,111,125,Normal,Low,0,16,2,28,35,65.6,True
1257,Visa Renewal,UK,Intake,106,94,Normal,Low,1,28,1,25,30,82.2,True
1258,Visa Renewal,UK,Closure,114,127,Normal,Medium,4,26,1,26,30,90.6,True
1259,Work Permit,US,Government Review,116,93,Normal,Low,4,23,1,9,45,75.5,True
1260,Visa Renewal,UK,Government Review,103,71,Normal,High,2,21,1,30,30,91.9,True
1261,Payroll,US,Government Review,112,22,Urgent,Medium,4,17,0,9,7,63.2,True
1262,Payroll,DE,Decision,117,58,Normal,Low,4,4,2,1,14,48.3,True
1263,Visa Renewal,US,Intake,100,110,Normal,Medium,2,11,1,12,30,58.1,True
1264,Relocation,CA,Documentation,115,54,Normal,Medium,3,1,3,45,35,66.6,True
1265,Payroll,CA,Submission,112,59,Normal,Medium,5,9,4,13,14,62.1,True
1266,Work Permit,AU,Intake,109,114,Urgent,High,1,6,1,14,38,65.2,True
1267,Tax,US,Government Review,111,104,Urgent,Low,2,14,2,10,14,62.0,True
1268,Payroll,UK,Submission,101,41,Normal,Medium,6,26,0,17,14,72.5,True
1269,Work Permit,US,Documentation,102,81,Normal,Low,4,25,2,17,45,70.7,True
1270,Work Permit,UK,Intake,109,38,Normal,Medium,4,21,0,31,45,63.7,True
1271,Payroll,AU,Government Review,101,33,Urgent,Low,1,6,1,26,7,56.6,True
1272,Relocation,CA,Decision,112,120,Normal,Low,5,14,2,35,35,75.5,True
1273,Work Permit,CA,Submission,112,128,Normal,Medium,6,15,2,36,45,76.7,True
1274,Visa Renewal,AU,Government Review,117,69,Normal,Low,0,21,3,11,30,70.4,True
1275,Relocation,CA,Documentation,102,81,Urgent,Low,2,25,2,16,28,67.2,True
1276,Tax,CA,Government Review,106,106,Normal,Low,3,0,1,29,21,52.1,True
1277,Tax,UK,Intake,113,109,Normal,Medium,1,14,0,45,21,64.8,True
1278,Payroll,UK,Submission,119,62,Normal,High,1,2,1,18,14,42.7,True
1279,Visa Renewal,US,Government Review,116,74,Normal,Medium,2,30,2,11,30,86.1,True
1280,Relocation,DE,Closure,111,127,Normal,Medium,4,9,1,11,35,62.7,True
1281,Relocation,CA,Submission,115,59,Urgent,Medium,4,15,3,9,28,67.6,True
1282,Relocation,US,Decision,111,31,Urgent,Low,3,1,2,25,28,49.5,True
1283,Work Permit,DE,Government Review,114,84,Normal,Low,2,16,0,32,45,71.0,True
1284,Payroll,CA,Closure,109,53,Urgent,Medium,1,0,1,34,7,34.2,True
1285,Tax,US,Submission,106,127,Normal,Low,6,3,2,3,21,50.2,True
1286,Relocation,UK,Documentation,119,102,Normal,Low,2,10,3,14,35,66.5,True
1287,PR Application,AU,Decision,104,42,Urgent,Medium,0,16,1,40,83,78.1,False
1288,Visa Renewal,AU,Intake,100,90,Normal,Medium,1,1,0,25,30,42.3,True
1289,Relocation,AU,Intake,116,26,Normal,Low,3,0,1,16,35,41.8,True
1290,Tax,AU,Intake,102,84,Urgent,Medium,3,28,1,36,14,82.0,True
1291,Relocation,US,Decision,112,37,Normal,Medium,1,27,2,9,35,67.7,True
1292,Payroll,CA,Intake,113,27,Normal,Medium,4,27,0,4,14,58.7,True
1293,PR Application,DE,Decision,117,108,Urgent,High,1,5,1,45,83,93.0,True
1294,Visa Renewal,CA,Submission,103,61,Normal,Low,1,10,1,2,30,36.9,True
1295,Tax,UK,Intake,117,112,Normal,Medium,0,3,4,25,21,49.4,True
1296,Work Permit,UK,Submission,104,106,Normal,High,1,23,3,22,45,87.9,True
1297,Visa Renewal,CA,Documentation,115,112,Normal,Medium,5,10,2,5,30,66.6,True
1298,Visa Renewal,AU,Government Review,100,20,Normal,Medium,6,4,1,21,30,71.0,True
1299,Relocation,CA,Government Review,113,98,Urgent,Low,5,29,3,10,28,92.5,True
1300,Tax,CA,Submission,114,34,Normal,Medium,2,9,0,23,21,37.1,True
1301,Relocation,AU,Intake,108,47,Normal,Low,2,4,1,27,35,37.2,True
1302,Tax,CA,Government Review,114,55,Normal,High,6,26,1,30,21,102.9,True
1303,Relocation,US,Decision,116,125,Normal,Medium,3,26,0,4,35,85.4,True
1304,Visa Renewal,CA,Government Review,103,123,Urgent,High,4,23,1,6,23,91.8,True
1305,Tax,DE,Decision,111,115,Normal,Medium,3,26,3,26,21,99.2,True
1306,Visa Renewal,DE,Documentation,104,65,Urgent,Low,0,25,1,10,23,55.4,True
1307,Visa Renewal,DE,Decision,104,96,Normal,Low,1,21,2,5,30,62.3,True
1308,Relocation,UK,Documentation,110,40,Normal,High,6,21,1,39,35,81.3,True
1309,Visa Renewal,US,Intake,105,68,Normal,Low,3,2,0,37,30,44.1,True
1310,Work Permit,AU,Decision,106,58,Normal,Low,1,28,1,40,45,75.4,True
1311,PR Application,AU,Closure,113,57,Normal,Medium,3,5,4,1,90,70.9,False
1312,Relocation,US,Government Review,110,28,Normal,Low,1,25,0,34,35,71.9,True
1313,Relocation,US,Documentation,112,39,Urgent,Medium,3,12,0,8,28,63.8,True
1314,Payroll,AU,Documentation,101,103,Normal,Medium,5,15,0,21,14,75.9,True
1315,Relocation,AU,Submission,106,27,Urgent,Medium,5,6,1,31,28,50.4,True
1316,Tax,AU,Decision,119,33,Normal,High,5,17,0,23,21,78.8,True
1317,Work Permit,AU,Intake,103,81,Normal,Low,6,2,1,11,45,44.9,False
1318,Relocation,CA,Decision,107,103,Normal,Low,2,5,0,16,35,50.8,True
1319,Tax,UK,Documentation,119,54,Normal,Low,6,9,4,27,21,65.6,True
1320,PR Application,CA,Decision,118,74,Urgent,High,6,15,1,7,83,96.8,True
1321,Tax,US,Closure,112,64,Normal,Low,0,24,1,24,21,61.7,True
1322,Visa Renewal,DE,Submission,113,40,Normal,Low,3,12,3,32,30,58.5,True
1323,Work Permit,CA,Submission,109,124,Normal,Medium,2,24,0,35,45,77.1,True
1324,Relocation,UK,Decision,110,72,Normal,Low,6,23,1,31,35,83.7,True
1325,Visa Renewal,CA,Government Review,101,124,Urgent,High,6,23,1,29,23,108.1,True
1326,Tax,CA,Government Review,108,73,Normal,High,4,8,3,4,21,78.6,True
1327,Visa Renewal,US,Government Review,116,105,Normal,Medium,3,26,1,35,30,98.3,True
1328,Payroll,US,Documentation,102,62,Normal,Medium,1,30,1,11,14,68.7,True
1329,Payroll,US,Decision,105,25,Urgent,Low,0,15,3,34,7,63.4,True
1330,Visa Renewal,US,Documentation,104,74,Normal,Medium,2,10,4,39,30,69.6,True
1331,Visa Renewal,AU,Closure,104,63,Normal,Medium,2,8,1,15,30,49.6,True
1332,Payroll,US,Documentation,114,110,Normal,Low,0,9,0,14,14,46.8,True
1333,Payroll,US,Government Review,116,87,Urgent,Low,3,10,2,21,7,73.9,True
1334,Relocation,UK,Documentation,108,23,Normal,High,1,28,1,7,35,77.2,True
1335,Visa Renewal,UK,Documentation,102,82,Normal,Low,4,24,1,17,30,70.9,True
1336,Relocation,US,Documentation,119,111,Normal,Medium,3,20,2,42,35,94.0,True
1337,Tax,DE,Government Review,116,110,Normal,Low,0,30,4,18,21,92.2,True
1338,Visa Renewal,DE,Government Review,109,77,Normal,Low,3,21,2,14,30,85.2,True
1339,Tax,US,Decision,102,73,Normal,Medium,6,14,1,38,21,77.9,True
1340,Work Permit,US,Documentation,117,100,Normal,Low,3,20,1,29,45,73.1,True
1341,Work Permit,AU,Government Review,117,122,Normal,Medium,0,12,1,10,45,64.9,True
1342,Visa Renewal,DE,Decision,116,57,Normal,Low,0,16,2,17,30,53.1,True
1343,Visa Renewal,UK,Documentation,102,79,Urgent,Low,4,3,3,32,23,67.9,True
1344,Visa Renewal,US,Submission,102,71,Urgent,High,0,30,4,20,23,99.7,True
1345,Relocation,CA,Submission,105,48,Urgent,Medium,0,29,1,17,28,69.3,True
1346,Visa Renewal,UK,Submission,112,59,Normal,High,0,10,3,7,30,61.9,True
1347,Work Permit,US,Documentation,114,90,Normal,High,6,28,0,39,45,105.5,True
1348,Visa Renewal,CA,Government Review,108,27,Urgent,High,6,0,1,44,23,80.3,True
1349,Payroll,UK,Documentation,103,124,Normal,High,6,27,2,30,14,89.6,True
1350,Relocation,CA,Government Review,113,116,Normal,Low,2,0,1,38,35,68.1,True
1351,Relocation,DE,Closure,104,115,Urgent,High,0,2,2,40,28,60.5,True
1352,Relocation,DE,Government Review,101,54,Normal,Low,0,22,1,41,35,79.6,True
1353,Payroll,CA,Government Review,110,101,Normal,Low,0,14,2,10,14,58.3,True
1354,Visa Renewal,DE,Intake,108,126,Normal,Low,4,0,3,32,30,55.7,True
1355,Tax,US,Decision,102,35,Normal,Low,6,22,3,26,21,80.9,True
1356,Tax,DE,Documentation,108,37,Normal,Medium,3,25,2,17,21,80.7,True
1357,PR Application,US,Government Review,102,78,Urgent,Low,6,29,2,1,83,100.8,True
1358,Work Permit,US,Closure,101,121,Normal,Low,0,25,1,39,45,78.6,True
1359,PR Application,UK,Government Review,111,108,Normal,Medium,0,30,1,26,90,110.6,True
1360,Work Permit,CA,Government Review,109,53,Urgent,Low,4,28,0,30,38,92.3,True
1361,PR Application,AU,Submission,108,23,Normal,Medium,3,15,0,9,90,65.4,False
1362,Tax,CA,Intake,114,88,Normal,Low,4,16,0,44,21,58.1,True
1363,Work Permit,US,Decision,107,97,Normal,Low,5,8,3,33,45,75.9,True
1364,Tax,CA,Intake,104,84,Urgent,Low,1,4,0,26,14,40.9,True
1365,Work Permit,CA,Government Review,110,80,Normal,Low,1,28,0,42,45,89.9,True
1366,Tax,CA,Intake,101,105,Normal,Medium,1,30,0,10,21,50.5,True
1367,Relocation,UK,Decision,114,65,Normal,Medium,0,5,3,42,35,70.0,True
1368,Work Permit,DE,Documentation,105,40,Normal,Low,4,14,3,32,45,62.9,True
1369,Work Permit,AU,Government Review,107,96,Normal,Low,0,27,0,39,45,83.6,True
1370,Payroll,AU,Government Review,104,119,Normal,Low,1,8,1,42,14,65.0,True
1371,Work Permit,US,Submission,115,112,Normal,High,3,26,1,33,45,89.1,True
1372,Work Permit,UK,Documentation,117,57,Normal,Low,3,2,0,27,45,52.0,True
1373,Visa Renewal,CA,Submission,105,92,Normal,Medium,5,18,0,43,30,72.5,True
1374,PR Application,UK,Documentation,104,116,Normal,Medium,4,20,0,29,90,89.6,False
1375,Relocation,CA,Submission,115,105,Normal,Low,5,12,1,19,35,57.5,True
1376,Work Permit,AU,Submission,112,100,Urgent,High,6,12,0,18,38,77.2,True
1377,Visa Renewal,UK,Government Review,104,79,Urgent,Medium,3,22,1,35,23,94.0,True
1378,Visa Renewal,AU,Documentation,112,106,Urgent,Medium,1,2,0,28,23,46.4,True
1379,Work Permit,DE,Closure,116,55,Normal,Low,5,19,0,38,45,72.1,True
1380,Relocation,AU,Government Review,117,25,Normal,Medium,5,13,0,10,35,69.9,True
1381,Tax,DE,Documentation,107,58,Normal,Low,5,1,1,3,21,43.9,True
1382,Work Permit,CA,Submission,112,48,Normal,Low,4,24,2,42,45,78.3,True
1383,Visa Renewal,US,Decision,118,46,Normal,Medium,6,9,1,29,30,72.9,True
1384,Visa Renewal,CA,Intake,102,88,Normal,High,4,8,4,16,30,76.3,True
1385,Payroll,US,Government Review,107,28,Normal,Low,1,12,0,36,14,56.5,True
1386,Payroll,CA,Government Review,101,43,Normal,Medium,1,10,2,1,14,57.7,True
1387,Tax,CA,Documentation,107,82,Normal,Medium,1,1,2,18,21,52.6,True
1388,Visa Renewal,CA,Decision,112,38,Normal,Low,5,15,0,4,30,55.3,True
1389,Work Permit,AU,Submission,112,116,Normal,Low,1,4,3,5,45,50.5,True
1390,Visa Renewal,AU,Documentation,100,49,Normal,Low,6,0,1,21,30,56.3,True
1391,Visa Renewal,US,Decision,105,77,Urgent,Medium,4,7,1,4,23,60.7,True
1392,Relocation,CA,Government Review,118,59,Normal,Medium,3,21,1,20,35,91.9,True
1393,Tax,CA,Decision,115,87,Normal,Low,1,15,0,19,21,44.3,True
1394,Tax,CA,Government Review,107,51,Urgent,Medium,2,13,2,35,14,80.0,True
1395,Tax,DE,Government Review,100,84,Normal,Medium,4,25,0,45,21,100.3,True
1396,Visa Renewal,CA,Decision,115,53,Normal,Medium,0,25,3,24,30,82.2,True
1397,Tax,UK,Intake,108,104,Normal,Low,3,1,0,20,21,37.0,True
1398,Visa Renewal,AU,Decision,112,50,Normal,Medium,4,17,4,28,30,78.2,True
1399,Work Permit,DE,Government Review,110,78,Normal,High,1,25,0,38,45,104.7,True
1400,Tax,US,Intake,112,97,Normal,Low,5,20,1,24,21,62.9,True
1401,Work Permit,UK,Government Review,109,45,Normal,Low,6,6,3,20,45,74.9,True
1402,Relocation,CA,Intake,103,41,Urgent,Medium,2,24,1,24,28,76.3,True
1403,Visa Renewal,US,Government Review,105,53,Normal,Low,0,24,0,6,30,55.2,True
1404,Tax,US,Government Review,106,116,Normal,High,3,11,1,38,21,92.5,True
1405,Tax,CA,Closure,104,32,Normal,Low,1,30,2,25,21,61.4,True
1406,Visa Renewal,CA,Documentation,110,115,Normal,Low,4,14,2,32,30,67.3,True
1407,Tax,US,Government Review,112,74,Urgent,Low,4,26,1,17,14,81.6,True
1408,Visa Renewal,UK,Documentation,118,27,Normal,Low,3,21,3,17,30,72.6,True
1409,Relocation,DE,Government Review,109,81,Urgent,Low,2,1,3,5,28,65.1,True
1410,Tax,US,Government Review,109,41,Normal,Medium,5,21,4,17,21,98.0,True
1411,Tax,US,Government Review,110,124,Urgent,Low,6,16,2,9,14,76.8,True
1412,Payroll,DE,Decision,106,75,Normal,High,1,26,2,20,14,79.3,True
1413,Visa Renewal,US,Decision,117,103,Normal,Medium,3,10,1,2,30,57.0,True
1414,PR Application,AU,Intake,103,40,Normal,Medium,3,28,1,19,90,85.1,False
1415,PR Application,UK,Documentation,101,117,Urgent,Low,4,1,2,9,83,64.3,False
1416,Payroll,CA,Government Review,113,68,Normal,Medium,3,27,1,40,14,71.9,True
1417,Work Permit,US,Submission,112,113,Urgent,Medium,0,18,0,19,38,52.9,True
1418,Tax,US,Documentation,111,25,Normal,Low,0,4,2,45,21,48.2,True
1419,Relocation,US,Government Review,106,54,Normal,High,1,25,1,4,35,88.2,True
1420,Visa Renewal,US,Submission,101,46,Normal,Low,3,16,1,6,30,46.8,True
1421,Relocation,UK,Submission,112,103,Normal,Low,4,15,1,36,35,74.4,True
1422,Visa Renewal,US,Decision,113,121,Urgent,Medium,5,27,1,11,23,77.3,True
1423,Relocation,CA,Submission,116,59,Normal,Medium,1,25,2,21,35,74.3,True
1424,Payroll,UK,Intake,108,33,Normal,Low,2,12,0,42,14,48.2,True
1425,Relocation,US,Intake,116,93,Normal,Medium,4,29,3,25,35,91.0,True
1426,PR Application,US,Decision,107,71,Normal,Medium,2,12,1,30,90,73.6,False
1427,Relocation,US,Closure,101,125,Normal,Medium,1,12,2,18,35,54.8,True
1428,Work Permit,US,Government Review,112,98,Normal,Low,0,4,2,25,45,66.1,True
1429,Visa Renewal,DE,Submission,102,59,Normal,High,4,4,2,21,30,60.0,True
1430,Relocation,CA,Closure,115,62,Normal,Low,5,19,0,23,35,56.4,True
1431,Visa Renewal,DE,Government Review,105,77,Normal,Medium,4,18,0,30,30,89.7,True
1432,Work Permit,CA,Decision,118,22,Normal,Low,1,6,2,44,45,58.9,True
1433,Relocation,CA,Decision,106,34,Normal,Medium,4,10,1,18,35,63.6,True
1434,Visa Renewal,CA,Submission,109,64,Normal,Low,4,22,0,33,30,68.8,True
1435,Visa Renewal,UK,Submission,108,114,Normal,Low,1,0,1,45,30,54.2,True
1436,Relocation,US,Documentation,101,30,Normal,Medium,6,6,2,35,35,70.4,True
1437,Work Permit,US,Documentation,114,129,Normal,Low,3,2,0,22,45,46.5,True
1438,Payroll,UK,Decision,104,58,Normal,Low,1,12,2,24,14,69.5,True
1439,Tax,CA,Decision,103,38,Urgent,Medium,4,2,0,23,14,47.6,True
1440,Tax,CA,Government Review,119,98,Normal,Medium,5,30,0,1,21,86.2,True
1441,Work Permit,UK,Submission,103,121,Normal,Low,5,5,3,15,45,67.9,True
1442,Tax,CA,Intake,117,39,Normal,Low,1,30,2,28,21,63.2,True
1443,Tax,UK,Intake,103,105,Normal,High,4,21,2,42,21,87.7,True
1444,Tax,CA,Submission,116,90,Urgent,Medium,2,26,3,20,14,86.7,True
1445,Work Permit,DE,Submission,111,75,Urgent,Low,2,28,1,36,38,75.4,True
1446,PR Application,UK,Government Review,116,97,Normal,Medium,0,14,1,43,90,94.0,True
1447,Tax,CA,Intake,109,23,Normal,Medium,6,3,0,16,21,47.2,True
1448,Relocation,UK,Closure,100,28,Normal,Low,1,4,4,5,35,43.4,True
1449,PR Application,AU,Submission,117,122,Normal,Low,1,2,2,43,90,69.5,False
1450,Relocation,CA,Decision,117,44,Normal,Low,2,18,2,15,35,67.7,True
1451,Relocation,CA,Government Review,113,66,Urgent,High,2,24,2,2,28,87.5,True
1452,Work Permit,DE,Intake,114,118,Normal,Low,2,20,0,24,45,52.2,True
1453,PR Application,UK,Decision,111,120,Urgent,Low,5,15,2,13,83,92.7,True
1454,Work Permit,US,Government Review,103,68,Urgent,High,5,16,4,23,38,99.0,True
1455,Relocation,AU,Government Review,102,46,Urgent,Low,0,8,1,12,28,54.9,True
1456,Visa Renewal,US,Government Review,119,47,Normal,Medium,0,25,2,33,30,78.5,True
1457,Relocation,DE,Intake,111,107,Normal,Low,3,21,1,44,35,72.2,True
1458,Work Permit,DE,Government Review,106,116,Normal,Medium,5,8,2,45,45,91.8,True
1459,Tax,AU,Closure,110,116,Normal,Low,1,13,1,25,21,54.3,True
1460,Tax,US,Intake,100,81,Normal,Low,0,26,1,35,21,58.4,True
1461,Work Permit,UK,Documentation,105,35,Normal,Medium,4,22,0,35,45,86.9,True
1462,Work Permit,CA,Closure,114,106,Normal,Medium,1,10,3,1,45,56.9,True
1463,Work Permit,CA,Documentation,114,65,Normal,Medium,3,25,1,43,45,89.3,True
1464,Tax,US,Government Review,118,94,Normal,Medium,2,9,0,4,21,58.6,True
1465,Relocation,UK,Government Review,110,65,Normal,Medium,3,22,1,31,35,93.7,True
1466,Relocation,CA,Government Review,101,59,Normal,Medium,1,4,1,28,35,52.2,True
1467,Work Permit,US,Submission,113,102,Normal,Medium,2,22,1,11,45,67.0,True
1468,PR Application,UK,Documentation,101,53,Normal,Medium,3,25,1,32,90,89.4,False
1469,Tax,DE,Intake,103,106,Urgent,Medium,3,3,2,2,14,46.1,True
1470,Tax,DE,Government Review,116,29,Normal,Medium,1,10,2,44,21,78.2,True
1471,PR Application,AU,Government Review,102,120,Normal,Low,0,26,2,13,90,96.1,True
1472,Work Permit,CA,Government Review,112,20,Normal,Low,4,5,0,17,45,54.0,True
1473,Work Permit,AU,Government Review,108,85,Urgent,Low,3,1,1,4,38,54.6,True
1474,Work Permit,AU,Documentation,106,105,Normal,High,4,29,0,31,45,108.6,True
1475,Visa Renewal,US,Intake,114,36,Urgent,Medium,5,25,2,38,23,82.5,True
1476,Work Permit,US,Decision,110,66,Urgent,Medium,5,2,1,3,38,44.2,True
1477,Visa Renewal,CA,Submission,119,43,Normal,Low,1,17,1,43,30,63.5,True
1478,Visa Renewal,CA,Documentation,101,69,Normal,Low,6,28,0,12,30,73.9,True
1479,Payroll,UK,Intake,114,104,Normal,High,1,25,3,44,14,95.5,True
1480,PR Application,UK,Intake,113,123,Normal,High,6,17,0,18,90,92.7,True
1481,Tax,DE,Documentation,119,48,Normal,Low,6,6,2,30,21,58.8,True
1482,Tax,CA,Decision,110,97,Normal,Medium,6,20,1,11,21,80.4,True
1483,Work Permit,US,Closure,102,91,Normal,Low,0,12,0,24,45,47.5,True
1484,Tax,AU,Decision,116,113,Normal,Low,6,12,2,21,21,77.8,True
1485,Visa Renewal,CA,Closure,111,105,Normal,Medium,2,5,1,35,30,62.9,True
1486,PR Application,AU,Closure,114,106,Normal,Medium,4,2,0,4,90,56.4,False
1487,Visa Renewal,US,Government Review,115,123,Normal,Medium,3,30,1,26,30,101.1,True
1488,Payroll,AU,Documentation,104,32,Normal,Low,2,9,1,8,14,46.8,True
1489,Visa Renewal,US,Decision,119,83,Normal,Low,5,20,1,24,30,73.9,True
1490,Visa Renewal,US,Documentation,105,47,Urgent,Low,5,4,3,43,23,76.2,True
1491,Payroll,US,Documentation,118,113,Normal,Low,4,10,3,45,14,78.6,True
